Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_1811_,1.1,5.408e-07,0.000e+00,2.507e-08,5.659e-07
_1812_,1.1,2.891e-07,0.000e+00,2.120e-08,3.103e-07
_1813_,1.1,2.892e-07,0.000e+00,2.120e-08,3.104e-07
_1814_,1.1,9.931e-08,0.000e+00,1.435e-08,1.137e-07
_1815_,1.1,6.081e-07,0.000e+00,4.914e-08,6.572e-07
_1816_,1.1,1.253e-06,0.000e+00,9.863e-08,1.351e-06
_1817_,1.1,2.819e-07,0.000e+00,2.120e-08,3.031e-07
_1818_,1.1,6.088e-07,0.000e+00,4.914e-08,6.579e-07
_1819_,1.1,1.003e-07,0.000e+00,1.435e-08,1.146e-07
_1820_,1.1,6.090e-07,0.000e+00,4.914e-08,6.581e-07
_1821_,1.1,9.924e-08,0.000e+00,1.435e-08,1.136e-07
_1822_,1.1,8.558e-07,0.000e+00,2.648e-08,8.823e-07
_1823_,1.1,6.085e-07,0.000e+00,4.914e-08,6.576e-07
_1824_,1.1,1.862e-06,0.000e+00,1.007e-07,1.963e-06
_1825_,1.1,2.882e-07,0.000e+00,2.120e-08,3.094e-07
_1826_,1.1,2.882e-07,0.000e+00,2.120e-08,3.094e-07
_1827_,1.1,2.889e-07,0.000e+00,2.120e-08,3.101e-07
_1828_,1.1,1.945e-06,0.000e+00,1.007e-07,2.046e-06
_1829_,1.1,2.894e-07,0.000e+00,2.120e-08,3.106e-07
_1830_,1.1,1.118e-06,0.000e+00,8.480e-08,1.203e-06
_1831_,1.1,9.931e-08,0.000e+00,1.435e-08,1.137e-07
_1832_,1.1,5.464e-07,0.000e+00,2.507e-08,5.715e-07
_1833_,1.1,2.882e-07,0.000e+00,2.120e-08,3.094e-07
_1834_,1.1,2.885e-07,0.000e+00,2.120e-08,3.097e-07
_1835_,1.1,9.971e-08,0.000e+00,1.435e-08,1.141e-07
_1836_,1.1,8.046e-07,0.000e+00,2.648e-08,8.310e-07
_1837_,1.1,5.053e-07,0.000e+00,2.507e-08,5.304e-07
_1838_,1.1,1.002e-07,0.000e+00,1.435e-08,1.145e-07
_1839_,1.1,9.971e-08,0.000e+00,1.435e-08,1.141e-07
_1840_,1.1,2.875e-07,0.000e+00,2.120e-08,3.087e-07
