Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_218_,1.1,3.074e-06,0.000e+00,2.315e-07,3.305e-06
_160_,1.1,2.668e-06,0.000e+00,2.297e-07,2.898e-06
g_mem.delayCnt_prng.state_0_$_DFF_P__Q,1.1,2.824e-06,0.000e+00,3.972e-08,2.864e-06
f_gpr.validReg_$_SDFF_PP1__Q,1.1,2.695e-06,0.000e+00,3.971e-08,2.735e-06
c_arbiter.state_reg_$_SDFF_PP0__Q_1,1.1,2.610e-06,0.000e+00,3.888e-08,2.648e-06
g_mem.validReg_$_SDFF_PP0__Q,1.1,2.602e-06,0.000e+00,3.895e-08,2.641e-06
g_mem.delayCnt_$_SDFF_PP0__Q_2,1.1,2.589e-06,0.000e+00,3.889e-08,2.628e-06
g_mem.canAccept_prng.state_0_$_DFF_P__Q,1.1,2.568e-06,0.000e+00,3.956e-08,2.608e-06
f_gpr.canAccept_prng.state_0_$_DFF_P__Q,1.1,2.554e-06,0.000e+00,3.956e-08,2.593e-06
g_mem.delayCnt_$_SDFF_PP0__Q_1,1.1,2.531e-06,0.000e+00,3.865e-08,2.570e-06
g_mem.delayCnt_prng.state_1_$_SDFF_PP0__Q,1.1,2.521e-06,0.000e+00,3.898e-08,2.560e-06
f_gpr.canAccept_prng.state_1_$_SDFF_PP0__Q,1.1,2.516e-06,0.000e+00,3.898e-08,2.555e-06
g_mem.canAccept_prng.state_1_$_SDFF_PP0__Q,1.1,2.516e-06,0.000e+00,3.898e-08,2.555e-06
g_mem.delayCnt_$_SDFF_PP0__Q,1.1,2.486e-06,0.000e+00,2.894e-08,2.515e-06
c_arbiter.state_reg_$_SDFF_PP0__Q,1.1,2.446e-06,0.000e+00,3.858e-08,2.484e-06
g_mem.delayCnt_prng.state_2_$_SDFF_PP0__Q,1.1,2.355e-06,0.000e+00,3.856e-08,2.393e-06
f_gpr.canAccept_prng.state_2_$_SDFF_PP0__Q,1.1,2.351e-06,0.000e+00,3.856e-08,2.389e-06
g_mem.canAccept_prng.state_2_$_SDFF_PP0__Q,1.1,2.351e-06,0.000e+00,3.856e-08,2.389e-06
f_gpr.canAccept_prng.state_3_$_SDFF_PP0__Q,1.1,2.199e-06,0.000e+00,3.831e-08,2.237e-06
g_mem.canAccept_prng.state_3_$_SDFF_PP0__Q,1.1,2.199e-06,0.000e+00,3.831e-08,2.237e-06
f_gpr.canAccept_prng.state_4_$_SDFF_PP0__Q,1.1,2.090e-06,0.000e+00,3.817e-08,2.128e-06
g_mem.canAccept_prng.state_4_$_SDFF_PP0__Q,1.1,2.090e-06,0.000e+00,3.817e-08,2.128e-06
